Clinic ID,Clinic Name,Clinic Address,Postal Code,FSA,Clinic City,Province,Clinic_Geo_Cols,Clinic_Geocode
1,Clinic 1,8308 114 St Nw Suite 2020,T6G 2V2,T6G,Edmonton,AB,"Clinic Address,Postal Code","(53.519807, -113.52716)"
2,Clinic 2,3480 Lawrence Ave E Unit 5,M1H 1A9,M1H,Scarborough,ON,"Clinic Address,Postal Code","(43.7597868, -79.2270078)"
3,Clinic 3,4715 8 Ave Se,T2A 3N4,T2A,Calgary,AB,"Clinic Address,Postal Code","(51.0449376, -113.9672239)"
4,Clinic 4,234 Dovedale Drive,L4P 0H3,L4P,Keswick,ON,"Clinic Address,Postal Code","(44.2204744, -79.4485566)"
5,Clinic 5,3968 Rue Notre-Dame O Etage 2E,H4C 1R1,H4C,Montreal,QC,"Clinic Address,Postal Code","(45.477993, -73.583575)"
6,Clinic 6,3400 Rue Du Marche Bureau 203,H9B 2Y1,H9B,Dollard-Des-Ormeaux,QC,"Clinic Address,Postal Code","(45.4845355, -73.80005729999999)"
7,Clinic 7,1441 29 St Nw,T2N 4J8,T2N,Calgary,AB,"Clinic Address,Postal Code","(51.065853, -114.132177)"
8,Clinic 8,910 Rue Labelle,J7Z 5M5,J7Z,Saint-Jerome,QC,"Clinic Address,Postal Code","(45.7887824, -74.0065915)"
9,Clinic 9,32 Rue De La Reserve,G0T 1K0,G0T,Essipit,QC,"Clinic Address,Postal Code","(48.3433436, -69.39844959999999)"
10,Clinic 10,1615 Boul Jacques-Cartier E Bureau 200,J4M 2X1,J4M,Longueuil,QC,"Clinic Address,Postal Code","(45.5408222, -73.4565803)"
11,Clinic 11,66 Rue Sainte-Catherine E,H2X 1K6,H2X,Montreal,QC,"Clinic Address,Postal Code","(45.5105943, -73.5629387)"
12,Clinic 12,345 Rumsey Rd,M4G 1R7,M4G,Toronto,ON,"Clinic Address,Postal Code","(43.7184761, -79.3714213)"
13,Clinic 13,3713 Kensington Ave,V5B 0A7,V5B,Burnaby,BC,"Clinic Address,Postal Code","(49.2516773, -122.9676986)"
14,Clinic 14,409 Tache Ave Room L1019,R2H 2A6,R2H,Winnipeg,MB,"Clinic Address,Postal Code","(49.884164, -97.1254912)"
15,Clinic 15,85 The East Mall,M8Z 5W4,M8Z,Etobicoke,ON,"Clinic Address,Postal Code","(43.6198903, -79.5486653)"
16,Clinic 16,790 Bay St Suite 108,M5G 1N8,M5G,Toronto,ON,"Clinic Address,Postal Code","(43.660478, -79.38614009999999)"
17,Clinic 17,1221 Lakeshore Rd Suite 103,L7S 0A1,L7S,Burlington,ON,"Clinic Address,Postal Code","(43.31522460000001, -79.80178819999999)"
18,Clinic 18,333 Lakeshore Rd W,L5H 1G9,L5H,Mississauga,ON,"Clinic Address,Postal Code","(43.5431815, -79.59472579999999)"
19,Clinic 19,1811 St Joseph Blvd,K1C 7C6,K1C,Orleans,ON,"Clinic Address,Postal Code","(45.4621413, -75.5468875)"
20,Clinic 20,76 Stuart St,K7L 2V7,K7L,Kingston,ON,"Clinic Address,Postal Code","(44.2237426, -76.4935185)"
21,Clinic 21,1661 Montreal Rd,K1J 9B7,K1J,Gloucester,ON,"Clinic Address,Postal Code","(45.44683990000001, -75.6135369)"
22,Clinic 22,399 Bathurst St Room 437,M5T 2S8,M5T,Toronto,ON,"Clinic Address,Postal Code","(43.6534088, -79.405247)"
23,Clinic 23,399 Bathurst St Room 2-405,M5T 2S8,M5T,Toronto,ON,"Clinic Address,Postal Code","(43.6534088, -79.405247)"
24,Clinic 24,40 Ruskin St Room H3238,K1Y 4W7,K1Y,Ottawa,ON,"Clinic Address,Postal Code","(45.39416110000001, -75.7206815)"
25,Clinic 25,70 Victoria St,N0B 1S0,N0B,Elora,ON,"Clinic Address,Postal Code","(43.67809889999999, -80.42851399999999)"
26,Clinic 26,460 Two Nations Cross,E3A 0X9,E3A,Fredericton,NB,"Clinic Address,Postal Code","(45.9828573, -66.6173579)"
27,Clinic 27,2 Gurdwara Rd Suite 602,K2E 1A2,K2E,Nepean,ON,"Clinic Address,Postal Code","(45.3348563, -75.7017731)"
28,Clinic 28,89 Dawson Rd Suite 208,N1H 1B1,N1H,Guelph,ON,"Clinic Address,Postal Code","(43.5491235, -80.2782715)"
29,Clinic 29,6 Thompson Cres Unit 1 Ss 0001,N0B 1T0,N0B,Erin,ON,"Clinic Address,Postal Code","(43.7817859, -80.077955)"
30,Clinic 30,6038 Empress St,N8T 1B5,N8T,Windsor,ON,"Clinic Address,Postal Code","(42.3128704, -82.9546087)"
31,Clinic 31,210 B Gran St,P6A 0C4,P6A,Batchewana First Nation,ON,"Clinic Address,Postal Code","(46.5127855, -84.2703035)"
32,Clinic 32,6155 North Street Suite 406,B3K 5R3,B3K,Halifax,NS,"Clinic Address,Postal Code","(44.65296910000001, -63.5976721)"
33,Clinic 33,50 Charlton Ave E Room F513,L8N 4A6,L8N,Hamilton,ON,"Clinic Address,Postal Code","(43.2494167, -79.8696379)"
34,Clinic 34,3 Beck Blvd,L9M 1B9,L9M,Penetanguishene,ON,"Clinic Address,Postal Code","(44.7732566, -79.9372628)"
35,Clinic 35,10 Cottrelle Blvd Unit 205,L6S 0E2,L6S,Brampton,ON,"Clinic Address,Postal Code","(43.7592513, -79.71623439999999)"
36,Clinic 36,555 University Ave Room 1447,M5G 1X8,M5G,Toronto,ON,"Clinic Address,Postal Code","(43.6570957, -79.3877344)"
37,Clinic 37,2 Bear Rd,R0E 1W0,R0E,Scanterbury,MB,"Clinic Address,Postal Code","(50.3621846, -96.6250261)"
38,Clinic 38,180 Cambria Rd N,N7A 4N8,N7A,Goderich,ON,"Clinic Address,Postal Code","(43.7496263, -81.70373)"
39,Clinic 39,8440 112 St Nw,T6G 2B7,T6G,Edmonton,AB,"Clinic Address,Postal Code","(53.5207104, -113.523782)"
40,Clinic 40,899 12Th Ave W Room 2449,V5Z 1M9,V5Z,Vancouver,BC,"Clinic Address,Postal Code","(49.261616, -123.1239113)"
41,Clinic 41,4480 Oak St Room P3-246,V6H 3V4,V6H,Vancouver,BC,"Clinic Address,Postal Code","(49.2454189, -123.1276029)"
42,Clinic 42,4804 50 St Suite 128,T4G 1C2,T4G,Innisfail,AB,"Clinic Address,Postal Code","(52.0293721, -113.9460874)"
43,Clinic 43,5119 47 St Suite 301,T9V 0G1,T9V,Lloydminster,AB,"Clinic Address,Postal Code","(53.280489, -110.010117)"
44,Clinic 44,10240 Kingsway  Nw Room 541,T5H 3V9,T5H,Edmonton,AB,"Clinic Address,Postal Code","(53.55696, -113.4965659)"
45,Clinic 45,803 1 Ave Ne Suite 306,T2E 7C5,T2E,Calgary,AB,"Clinic Address,Postal Code","(51.0530565, -114.0453316)"
46,Clinic 46,6707 Elbow Dr Sw Suite 132,T2V 0E3,T2V,Calgary,AB,"Clinic Address,Postal Code","(50.9932632, -114.0840913)"
47,Clinic 47,1403 29 St Nw Room 601,T2N 2T9,T2N,Calgary,AB,"Clinic Address,Postal Code","(51.0642667, -114.1345941)"
48,Clinic 48,28 Oki Dr Nw,T3B 6A8,T3B,Calgary,AB,"Clinic Address,Postal Code","(51.074407, -114.1484729)"
49,Clinic 49,114 1 St Sw,T0L 0H0,T0L,Black Diamond,AB,"Clinic Address,Postal Code","(50.6876664, -114.2341827)"
50,Clinic 50,3644 Slocan St,V5M 3E8,V5M,Vancouver,BC,"Clinic Address,Postal Code","(49.2519743, -123.0482504)"
51,Clinic 51,960 19 St S,T1J 1W5,T1J,Lethbridge,AB,"Clinic Address,Postal Code","(49.68535, -112.8151851)"
52,Clinic 52,118 Cope Cres Suite 36,S7T 0X3,S7T,Saskatoon,SK,"Clinic Address,Postal Code","(52.0846994, -106.6393823)"
53,Clinic 53,14127 23 Ave Nw Suite 308,T6R 0G4,T6R,Edmonton,AB,"Clinic Address,Postal Code","(53.4528377, -113.5626559)"
54,Clinic 54,4132 50 Ave Suite 301,T4N 3Z2,T4N,Red Deer,AB,"Clinic Address,Postal Code","(52.2615413, -113.8146314)"
55,Clinic 55,65 Angeline St N Suite 8,K9V 5N7,K9V,Lindsay,ON,"Clinic Address,Postal Code","(44.3564249, -78.7537676)"
56,Clinic 56,5905 50 St,T9E 6S7,T9E,Leduc,AB,"Clinic Address,Postal Code","(53.2730071, -113.549509)"
57,Clinic 57,1620 29 St Nw Suite 120,T2N 4L7,T2N,Calgary,AB,"Clinic Address,Postal Code","(51.067437, -114.1284468)"
58,Clinic 58,3815 Front St Se Suite 125,T3M 2J6,T3M,Calgary,AB,"Clinic Address,Postal Code","(50.8804224, -113.9541841)"
59,Clinic 59,303 9 Ave Sw Suite 201,T1V 0H2,T1V,High River,AB,"Clinic Address,Postal Code","(50.5746143, -113.8766878)"
60,Clinic 60,11400 University Ave Nw Floor 7,T6G 1Z1,T6G,Edmonton,AB,"Clinic Address,Postal Code","(53.5189515, -113.5276209)"
61,Clinic 61,8440 112 St Nw Room 1G1-62,T6G 2B7,T6G,Edmonton,AB,"Clinic Address,Postal Code","(53.5207104, -113.523782)"
62,Clinic 62,11010 101 St Nw Suite 203,T5H 4B9,T5H,Edmonton,AB,"Clinic Address,Postal Code","(53.5574746, -113.4946218)"
63,Clinic 63,303 Lynx St Suite 207,T1L 1B3,T1L,Banff,AB,"Clinic Address,Postal Code","(51.17870019999999, -115.5750514)"
64,Clinic 64,200 Boul Rene-Levesque O Bureau 612,H2Z 1X4,H2Z,Montreal,QC,"Clinic Address,Postal Code","(45.50671510000001, -73.5628019)"
65,Clinic 65,1260 Golf Links Rd Suite 104,P7B 0A1,P7B,Thunder Bay,ON,"Clinic Address,Postal Code","(48.423558, -89.273867)"
66,Clinic 66,9105 Sunset Dr,V2P 3X8,V2P,Chilliwack,BC,"Clinic Address,Postal Code","(49.1681591, -121.9676831)"
67,Clinic 67,4448 Front St Se Room 310207,T3M 1M4,T3M,Calgary,AB,"Clinic Address,Postal Code","(50.8829211, -113.9502279)"
68,Clinic 68,7609 109 St Nw Suite 300,T6G 1C3,T6G,Edmonton,AB,"Clinic Address,Postal Code","(53.5126985, -113.5116507)"
69,Clinic 69,34 Cedar Pointe Dr Unit 505,L4N 5R7,L4N,Barrie,ON,"Clinic Address,Postal Code","(44.3809303, -79.71360729999999)"
70,Clinic 70,1 P Manor Lane,K0L 1C0,K0L,Bancroft,ON,"Clinic Address,Postal Code","(45.05519719999999, -77.8642058)"
71,Clinic 71,971 64 Ave Ne Unit 235,T2E 7Z4,T2E,Calgary,AB,"Clinic Address,Postal Code","(51.11011800000001, -114.0406289)"
72,Clinic 72,620 Mckenzie Towne Dr Se Suite 102,T2Z 0Y6,T2Z,Calgary,AB,"Clinic Address,Postal Code","(50.91233339999999, -113.9536085)"
73,Clinic 73,30 Springborough Blvd Sw Suite 108,T3H 0N9,T3H,Calgary,AB,"Clinic Address,Postal Code","(51.03480949999999, -114.1910313)"
74,Clinic 74,5201 50 St Suite 30,T9E 6T4,T9E,Leduc,AB,"Clinic Address,Postal Code","(53.2675488, -113.5510899)"
75,Clinic 75,10124 107 St,T7P 1X3,T7P,Westlock,AB,"Clinic Address,Postal Code","(54.1572241, -113.859018)"
76,Clinic 76,4406 50 Ave Suite 206,T4N 3Z6,T4N,Red Deer,AB,"Clinic Address,Postal Code","(52.2638001, -113.8145558)"
77,Clinic 77,11010 101 St Nw Suite 350,T5H 4B9,T5H,Edmonton,AB,"Clinic Address,Postal Code","(53.5574746, -113.4946218)"
78,Clinic 78,265 Dundas St E Room 356,K8N 5A9,K8N,Belleville,ON,"Clinic Address,Postal Code","(44.163279, -77.3647112)"
79,Clinic 79,1865 Dilworth Dr Suite 104,V1Y 9T1,V1Y,Kelowna,BC,"Clinic Address,Postal Code","(49.8802322, -119.4366328)"
80,Clinic 80,59 Airport Rd. ,A1A 4Y3,A1A,St John's,NL,"Clinic Address,Postal Code","(47.60382509999999, -52.7416121)"
81,Clinic 81,40 Ruskin St Room H2410,K1Y 4W7,K1Y,Ottawa,ON,"Clinic Address,Postal Code","(45.39416110000001, -75.7206815)"
82,Clinic 82,11893 227 St Suite 108,V2X 6H9,V2X,Maple Ridge,BC,"Clinic Address,Postal Code","(49.2189065, -122.5946066)"
83,Clinic 83,561 Eglinton Ave W,M5N 1B5,M5N,Toronto,ON,"Clinic Address,Postal Code","(43.7031397, -79.4147505)"
84,Clinic 84,2775 Laurel St,V5Z 1M9,V5Z,Vancouver,BC,"Clinic Address,Postal Code","(49.2611293, -123.1260381)"
85,Clinic 85,8440 112 St Nw Room Wmc-1C4,T6G 2B7,T6G,Edmonton,AB,"Clinic Address,Postal Code","(53.5207104, -113.523782)"
86,Clinic 86,267 O'Connor St Suite 306,K2P 1V3,K2P,Ottawa,ON,"Clinic Address,Postal Code","(45.4155084, -75.6932832)"
87,Clinic 87,9909 102 St Room 928,T8V 2V4,T8V,Grande Prairie,AB,"Clinic Address,Postal Code","(55.1703722, -118.8007771)"
88,Clinic 88,210 Melrose Ave,K1Y 4K7,K1Y,Ottawa,ON,"Clinic Address,Postal Code","(45.3932356, -75.7194392)"
89,Clinic 89,1229 Queen St W,M6K 1L2,M6K,Toronto,ON,"Clinic Address,Postal Code","(43.6418222, -79.4294437)"
90,Clinic 90,300 Silver Star Blvd Floor 2,M1V 0G2,M1V,Scarborough,ON,"Clinic Address,Postal Code","(43.81257249999999, -79.2949245)"
91,Clinic 91,10240 Kingsway  Nw Room 201,T5H 3V9,T5H,Edmonton,AB,"Clinic Address,Postal Code","(53.55696, -113.4965659)"
92,Clinic 92,1053 Carling Ave Room 353,K1Y 4E9,K1Y,Ottawa,ON,"Clinic Address,Postal Code","(45.3926998, -75.72088029999999)"
93,Clinic 93,13750 96 Ave,V3V 1Z2,V3V,Surrey,BC,"Clinic Address,Postal Code","(49.1762238, -122.841842)"
94,Clinic 94,Cfb Kingston,K7K 7B4,K7K,Kingston,ON,"Clinic Address,Postal Code","(44.2338812, -76.4675051)"
95,Clinic 95,2120 Regent St Unit 2,P3E 3Z9,P3E,Sudbury,ON,"Clinic Address,Postal Code","(46.4512732, -80.9964236)"
96,Clinic 96,770 Broadview Ave Suite 305,K2A 3Z3,K2A,Ottawa,ON,"Clinic Address,Postal Code","(45.377663, -75.7552116)"
97,Clinic 97,207 Hastings St W Suite 608,V6B 1H7,V6B,Vancouver,BC,"Clinic Address,Postal Code","(49.2828315, -123.1097389)"
98,Clinic 98,10 Earlsbridge Blvd Suite 6,L7A 3P1,L7A,Brampton,ON,"Clinic Address,Postal Code","(43.7025848, -79.82899689999999)"
99,Clinic 99,60 Murray St Room L5-210,M5T 3L9,M5T,Toronto,ON,"Clinic Address,Postal Code","(43.657812, -79.3918249)"
100,Clinic 100,1151 Richmond St Floor 2,N6A 5C1,N6A,London,ON,"Clinic Address,Postal Code","(43.0080245, -81.2634123)"
