ID,Address,Postal Code,FSA,City,Province,Pat_Geo_Cols,Pat_Geocode
169,GORDON ST,N1G 2W1,N1G,GUELPH,ON,"Address,Postal Code","(43.51813370000001, -80.2055111)"
170,43 MAIN ST,A0E 1E0,A0E,BURIN,NL,"Address,Postal Code","(47.107867, -55.19650060000001)"
171,185 INKERMAN ST E,N4W 2N1,N4W,LISTOWEL,ON,"Address,Postal Code","(43.73225619999999, -80.9507948)"
172,644 TOPSAIL RD,A1E 2E2,A1E,ST. JOHN'S,NL,"Address,Postal Code","(47.525322, -52.770718)"
173,2377 111 ST NW SUITE 301,T6J 5E5,T6J,EDMONTON,AB,"Address,Postal Code","(53.45495289999999, -113.5136988)"
174,1745 ALTA VISTA DR,K1A 0K6,K1A,OTTAWA,ON,"Address,Postal Code","(45.4016583, -75.6574543)"
175,131 KING ST SUITE 3,B2A 3S1,B2A,NORTH SYDNEY,NS,"Address,Postal Code","(46.2154369, -60.2633326)"
176,4555 SHORE RD,B1W 1K3,B1W,ESKASONI,NS,"Address,Postal Code","(45.94365579999999, -60.6089786)"
177,1128 HORNBY ST FLOOR 4,V6Z 2L4,V6Z,VANCOUVER,BC,"Address,Postal Code","(49.2789136, -123.1268908)"
178,1221 GREENBANK RD,K2J 5V7,K2J,NEPEAN,ON,"Address,Postal Code","(45.27480070000001, -75.7473606)"
179,34 CIVIC AVE FLOOR 2,L4A 1H2,L4A,STOUFFVILLE,ON,"Address,Postal Code","(43.9705016, -79.24577210000001)"
180,105 MARY ST W,L1N 2R4,L1N,WHITBY,ON,"Address,Postal Code","(43.881269, -78.94391259999999)"
181,1585 MARKHAM RD SUITE 301,M1B 2W1,M1B,SCARBOROUGH,ON,"Address,Postal Code","(43.79224670000001, -79.2376316)"
182,82 SEVENTH AVE,P8T 1K2,P8T,SIOUX LOOKOUT,ON,"Address,Postal Code","(50.1006131, -91.9254426)"
183,800 COMMISSIONERS RD E ROOM E1-102,N6C 6B5,N6C,LONDON,ON,"Address,Postal Code","(42.9604624, -81.2255313)"
184,22262 MILL RD RR 00005,N0L 1W0,N0L,MOUNT BRYDGES,ON,"Address,Postal Code","(42.8981918, -81.4708806)"
185,14 RAMBLEWOOD DR UNIT 101,L9Z 0C4,L9Z,WASAGA BEACH,ON,"Address,Postal Code","(44.46853710000001, -80.07588620000001)"
186,366 LACEWOOD DR SUITE 200,B3S 1M7,B3S,HALIFAX,NS,"Address,Postal Code","(44.6581214, -63.67153649999999)"
187,222 FIRST ST E,V0E 2S0,V0E,REVELSTOKE,BC,"Address,Postal Code","(50.9976057, -118.1930073)"
188,210 MELROSE AVE,K1Y 4K7,K1Y,OTTAWA,ON,"Address,Postal Code","(45.3932356, -75.7194392)"
189,77 GRENVILLE ST FLOOR 3,M5S 1B3,M5S,TORONTO,ON,"Address,Postal Code","(43.66128579999999, -79.3868145)"
190,5959 ANDERSON ST SUITE 1A,L1M 2E9,L1M,WHITBY,ON,"Address,Postal Code","(43.9563191, -78.9465902)"
191,8000 BATHURST ST UNIT 2A,L4J 0B8,L4J,THORNHILL,ON,"Address,Postal Code","(43.8158977, -79.45206879999999)"
192,540 LAKESHORE RD W,L6K 3P1,L6K,OAKVILLE,ON,"Address,Postal Code","(43.4261487, -79.6852904)"
193,960 NOTRE DAME AVE UNIT C,P3A 2T4,P3A,SUDBURY,ON,"Address,Postal Code","(46.5175554, -80.9820022)"
194,2 SERPENTINE ST,P0M 1N0,P0M,COPPER CLIFF,ON,"Address,Postal Code","(46.4779002, -81.06860209999999)"
195,SINCLAIR RD,V8W 2Y2,V8W,VICTORIA,BC,"Address,Postal Code","(48.4629124, -123.3010009)"
196,221 NELSON ST,K1N 1C7,K1N,OTTAWA,ON,"Address,Postal Code","(45.4293804, -75.6836)"
197,1615 BOUL JACQUES-CARTIER E,J4M 2X1,J4M,LONGUEUIL,QC,"Address,Postal Code","(45.5408222, -73.4565803)"
198,233 RUE TURGEON BUREAU 101,J7E 3J8,J7E,SAINTE-THERESE,QC,"Address,Postal Code","(45.6316378, -73.82963509999999)"
199,3066 SHELBOURNE ST SUITE 347,V8R 6T9,V8R,VICTORIA,BC,"Address,Postal Code","(48.4447209, -123.3339349)"
200,4920 TAIT AVE,V0J 1A0,V0J,AIYANSH,BC,"Address,Postal Code","(55.1997668, -129.0776418)"
201,629 MARKHAM RD UNIT 2,M1H 2A4,M1H,SCARBOROUGH,ON,"Address,Postal Code","(43.7609483, -79.2240557)"
202,4256 BATHURST ST SUITE 306,M3H 5Y8,M3H,NORTH YORK,ON,"Address,Postal Code","(43.7511577, -79.43781229999999)"
203,2 BLOOMFIELD TRAIL UNIT 6-7,L4E 2H8,L4E,RICHMOND HILL,ON,"Address,Postal Code","(43.95981769999999, -79.4714834)"
204,460 SPRINGBANK DR SUITE 314,N6J 0A8,N6J,LONDON,ON,"Address,Postal Code","(42.9667188, -81.2855687)"
205,5357 FERNBANK RD FLOOR 5 RR 0001,K2S 1B6,K2S,STITTSVILLE,ON,"Address,Postal Code","(45.27523009999999, -75.8717233)"
206,170 REBECCA ST UNIT A,L6K 1J6,L6K,OAKVILLE,ON,"Address,Postal Code","(43.43871850000001, -79.6780563)"
207,110 COPPER CREEK DR UNIT 100,L6B 0P9,L6B,MARKHAM,ON,"Address,Postal Code","(43.8690086, -79.22917389999999)"
208,2201 BROADWAY  W,V6K 2E4,V6K,VANCOUVER,BC,"Address,Postal Code","(49.2640841, -123.1556723)"
209,36 MCDONALD ST SUITE 1,P1L 2C2,P1L,BRACEBRIDGE,ON,"Address,Postal Code","(45.0465328, -79.3178511)"
210,35 ALGOMA ST N,P7A 4Z3,P7A,THUNDER BAY,ON,"Address,Postal Code","(48.4381, -89.222415)"
211,619 A BLOOR ST W,M6G 1K8,M6G,TORONTO,ON,"Address,Postal Code","(43.664419, -79.4140091)"
212,3333 BRIMLEY RD,M1V 2J7,M1V,SCARBOROUGH,ON,"Address,Postal Code","(43.82112069999999, -79.28363159999999)"
213,1213 4 ST SW,T2R 0X7,T2R,CALGARY,AB,"Address,Postal Code","(51.0412253, -114.0721607)"
214,9651 YONGE ST,L4C 1V7,L4C,RICHMOND HILL,ON,"Address,Postal Code","(43.8633674, -79.43443429999999)"
215,212 ALPINE WAY,V0B 1H0,V0B,ELKFORD,BC,"Address,Postal Code","(50.0210158, -114.9176017)"
216,HIGHWAY 71,A0A 3X0,A0A,SPANIARDS BAY,NL,"Address,Postal Code","(47.6283963, -53.3005611)"
217,2305 C 8TH AVE,S0K 2A0,S0K,HUMBOLDT,SK,"Address,Postal Code","(52.20144269999999, -105.1495971)"
218,15121 121 ST NW,T5X 3C8,T5X,EDMONTON,AB,"Address,Postal Code","(53.6133629, -113.5297935)"
219,470 BRONTE ST S SUITE 206,L9T 2J4,L9T,MILTON,ON,"Address,Postal Code","(43.498798, -79.8763432)"
220,5970 16TH AVE UNIT 130,L3P 7R1,L3P,MARKHAM,ON,"Address,Postal Code","(43.8914627, -79.2664777)"
221,1280 MAIN ST W ROOM B101,L8S 4K1,L8S,HAMILTON,ON,"Address,Postal Code","(43.2622445, -79.9202861)"
222,23 HURON ST W SS 0002,N0M 1S2,N0M,EXETER,ON,"Address,Postal Code","(43.3432101, -81.4806108)"
223,2895 CHOWAT RD,V0M 1A0,V0M,AGASSIZ,BC,"Address,Postal Code","(49.2551496, -121.7302808)"
224,3292 BAYVIEW AVE SUITE 105,M2M 4J5,M2M,NORTH YORK,ON,"Address,Postal Code","(43.7898247, -79.393532)"
225,875 CARLING AVE FLOOR 9,K1S 5P1,K1S,OTTAWA,ON,"Address,Postal Code","(45.3965386, -75.7113423)"
226,85 THE EAST MALL  SUITE 400,M8Z 5W4,M8Z,ETOBICOKE,ON,"Address,Postal Code","(43.6198903, -79.5486653)"
227,2155 ALLISON RD SUITE 228,V6T 1T5,V6T,VANCOUVER,BC,"Address,Postal Code","(49.266237, -123.2423792)"
228,3300 SMITH DR SUITE 23C RR 0001,V0E 1B1,V0E,ARMSTRONG,BC,"Address,Postal Code","(50.4392764, -119.1901712)"
229,7217 GELERT RD,K0M 1S0,K0M,HALIBURTON,ON,"Address,Postal Code","(45.0389556, -78.5276757)"
230,201 DEACON ST FLOOR 2,K8A 2J6,K8A,PEMBROKE,ON,"Address,Postal Code","(45.8137451, -77.1053917)"
231,1101 KINGSTON RD SUITE 220,L1V 1B5,L1V,PICKERING,ON,"Address,Postal Code","(43.8282629, -79.0961458)"
232,503 SMYTH RD,K1H 1C4,K1H,OTTAWA,ON,"Address,Postal Code","(45.3992345, -75.6496669)"
233,29 NOXON ST,N5C 1B8,N5C,INGERSOLL,ON,"Address,Postal Code","(43.0320683, -80.87545879999999)"
234,29 NOXON ST FLOOR 2,N5C 1B8,N5C,INGERSOLL,ON,"Address,Postal Code","(43.0320683, -80.87545879999999)"
235,7019 ALBERNI ST,V8A 2C2,V8A,POWELL RIVER,BC,"Address,Postal Code","(49.846536, -124.519574)"
236,433 MARLBOROUGH WAY NE UNIT 530,T2A 5H5,T2A,CALGARY,AB,"Address,Postal Code","(51.0560012, -113.9789411)"
237,430 BROADVIEW AVE,M4K 2N1,M4K,TORONTO,ON,"Address,Postal Code","(43.6669837, -79.35364009999999)"
238,275 PICTOU RD,B2N 2S7,B2N,TRURO,NS,"Address,Postal Code","(45.38133, -63.241848)"
239,510 PRINCE ST,B2N 1G1,B2N,TRURO,NS,"Address,Postal Code","(45.365403, -63.285959)"
240,99 PROTON ST,N0C 1B0,N0C,DUNDALK,ON,"Address,Postal Code","(44.1692216, -80.3943517)"
241,88 HARWOOD AVE S,L1S 2H6,L1S,AJAX,ON,"Address,Postal Code","(43.8503145, -79.0218166)"
242,63 ALGOMA ST N SUITE 410,P7A 4Z6,P7A,THUNDER BAY,ON,"Address,Postal Code","(48.43874779999999, -89.2216917)"
243,3635 RIVERGATE WAY SUITE 5,K1V 2A4,K1V,OTTAWA,ON,"Address,Postal Code","(45.3449603, -75.6921505)"
244,229 1 ST SW,T4B 3L8,T4B,AIRDRIE,AB,"Address,Postal Code","(51.2902919, -114.0153942)"
245,24 FIRST ST,L9W 2C7,L9W,ORANGEVILLE,ON,"Address,Postal Code","(43.92102329999999, -80.09822969999999)"
246,268 MAIDEN LANE,N4X 1B7,N4X,ST MARYS,ON,"Address,Postal Code","(43.2591657, -81.1519773)"
247,3066 SHELBOURNE ST UNIT 133,V8R 6T9,V8R,VICTORIA,BC,"Address,Postal Code","(48.4447209, -123.3339349)"
248,1240 EGLINTON AVE W UNIT B-14,L5V 1N3,L5V,MISSISSAUGA,ON,"Address,Postal Code","(43.5795537, -79.68160019999999)"
249,118 7TH AVE,N4N 2G9,N4N,HANOVER,ON,"Address,Postal Code","(44.141771, -81.029228)"
250,3150 54TH AVE E SUITE 350,V5S 1Z1,V5S,VANCOUVER,BC,"Address,Postal Code","(49.2200344, -123.0397006)"
251,820 SHERBROOK ST ROOM GF-201,R3A 1R9,R3A,WINNIPEG,MB,"Address,Postal Code","(49.9030619, -97.1573253)"
252,1620 ALBION RD UNIT 106,M9V 4B4,M9V,ETOBICOKE,ON,"Address,Postal Code","(43.74205600000001, -79.5910293)"
253,800 COMMISSIONERS RD E ROOM E1102,N6C 6B5,N6C,LONDON,ON,"Address,Postal Code","(42.9604624, -81.2255313)"
254,3601 HIGHWAY 7  UNIT 605,L3R 0M3,L3R,MARKHAM,ON,"Address,Postal Code","(43.853865, -79.338348)"
255,240 BAKER DR SUITE 203,B2W 6L4,B2W,DARTMOUTH,NS,"Address,Postal Code","(44.6567255, -63.5296749)"
256,25 MILL ST,K7G 2L5,K7G,GANANOQUE,ON,"Address,Postal Code","(44.3268835, -76.1631089)"
257,190 SHERWAY DR SUITE 211,M9C 5N2,M9C,ETOBICOKE,ON,"Address,Postal Code","(43.60871789999999, -79.56033649999999)"
258,22242 48 AVE SUITE 201,V3A 3N5,V3A,LANGLEY,BC,"Address,Postal Code","(49.0891433, -122.6076085)"
259,495 TRUMPETER DR,V1W 5J4,V1W,GOLD RIVER,BC,"Address,Postal Code","(49.79319719999999, -119.5024111)"
260,2111 AV NORTHCLIFFE,H4A 3K6,H4A,MONTREAL,QC,"Address,Postal Code","(45.4743794, -73.6068028)"
261,1 WEST ASPEN ST,J0Y 3C0,J0Y,WASWANIPI,QC,"Address,Postal Code","(49.6928174, -75.96316949999999)"
262,221 BRANT AVE,N3T 3J2,N3T,BRANTFORD,ON,"Address,Postal Code","(43.1470282, -80.2759489)"
263,1209 MAIN ST,V0J 2N0,V0J,SMITHERS,BC,"Address,Postal Code","(54.780383, -127.170578)"
264,1 FIRST CANADIAN PL,M5X 1C8,M5X,TORONTO,ON,"Address,Postal Code","(43.6486111, -79.3816667)"
265,6339 200 ST SUITE 201,V2Y 1A2,V2Y,LANGLEY,BC,"Address,Postal Code","(49.1181157, -122.6699885)"
266,45744 GAETZ ST SUITE 104,V2R 3P1,V2R,CHILLIWACK,BC,"Address,Postal Code","(49.1359618, -121.957888)"
267,95 MERIDIAN AVE,P0J 1K0,P0J,HAILEYBURY,ON,"Address,Postal Code","(47.438401, -79.631748)"
268,821 ST GEORGE ST,B0S 1A0,B0S,ANNAPOLIS ROYAL,NS,"Address,Postal Code","(44.73662710000001, -65.5018262)"
269,6548 HASTINGS ST,V5B 1S2,V5B,BURNABY,BC,"Address,Postal Code","(49.2794805, -122.9682347)"
270,3994 SHELBOURNE ST SUITE 200,V8N 3E2,V8N,VICTORIA,BC,"Address,Postal Code","(48.4719878, -123.3340985)"
271,101 1ST ST W SUITE 201,V0E 2S0,V0E,REVELSTOKE,BC,"Address,Postal Code","(50.9987981, -118.1956937)"
272,330 FESTUBERT ST SUITE 101,V9L 3S9,V9L,DUNCAN,BC,"Address,Postal Code","(48.7776692, -123.7018081)"
273,299 MONTREAL RD,K1L 6B8,K1L,VANIER,ON,"Address,Postal Code","(45.4373487, -75.6589864)"
274,462 PAXTON ST SUITE 203,L9L 1L9,L9L,PORT PERRY,ON,"Address,Postal Code","(44.1041545, -78.95388129999999)"
275,220 DUNCAN MILL RD SUITE 201,M3B 3J5,M3B,NORTH YORK,ON,"Address,Postal Code","(43.762167, -79.3528041)"
276,2068 PRINCE OF WALES DR,S4V 3A6,S4V,REGINA,SK,"Address,Postal Code","(50.4467933, -104.5373209)"
277,1 EVA RD SUITE 406,M9C 4Z5,M9C,ETOBICOKE,ON,"Address,Postal Code","(43.6390931, -79.56218779999999)"
278,151 YONGE ST FLOOR 11,M5C 2W7,M5C,TORONTO,ON,"Address,Postal Code","(43.6515599, -79.37849720000001)"
279,410 SHERBOURNE ST FLOOR GROUND,M4X 1K2,M4X,TORONTO,ON,"Address,Postal Code","(43.6646817, -79.3741422)"
280,3080 YONGE ST SUITE 5080,M4N 3N1,M4N,TORONTO,ON,"Address,Postal Code","(43.7254862, -79.40273409999999)"
281,100 ELIZABETH AVE SUITE 116,A1B 1S1,A1B,ST. JOHN'S,NL,"Address,Postal Code","(47.5811942, -52.71571729999999)"
282,156 GUELPH ST UNIT 4,L7G 4A6,L7G,GEORGETOWN,ON,"Address,Postal Code","(43.6504394, -79.9096936)"
283,20 ROBERTSON DR,K0J 1C0,K0J,BEACHBURG,ON,"Address,Postal Code","(45.7264656, -76.8451005)"
284,70 EXHIBITION ST SUITE 130,B4N 4K9,B4N,KENTVILLE,NS,"Address,Postal Code","(45.08379739999999, -64.4966178)"
285,2867 ELLESMERE RD,M1E 4B9,M1E,SCARBOROUGH,ON,"Address,Postal Code","(43.7800012, -79.2049361)"
286,36 B PRINCE ARTHUR AVE,M5R 1A9,M5R,TORONTO,ON,"Address,Postal Code","(43.6696012, -79.39747779999999)"
287,399 BATHURST ST,M5T 2S8,M5T,TORONTO,ON,"Address,Postal Code","(43.6534088, -79.405247)"
288,200 ELIZABETH ST UNIT RFEGS,M5G 2C4,M5G,TORONTO,ON,"Address,Postal Code","(43.6590384, -79.38835859999999)"
289,10 TRENCH ST,L4C 4Z3,L4C,RICHMOND HILL,ON,"Address,Postal Code","(43.8704455, -79.4508084)"
290,2075 BAYVIEW AVE,M4N 3M5,M4N,TORONTO,ON,"Address,Postal Code","(43.7228457, -79.3728749)"
291,1940 HARVEY AVE SUITE 150,V1Y 8J8,V1Y,KELOWNA,BC,"Address,Postal Code","(49.8829051, -119.4541655)"
292,750 BROADWAY  W SUITE 402,V5Z 1J2,V5Z,VANCOUVER,BC,"Address,Postal Code","(49.26301110000001, -123.1211867)"
293,88 WAGLISLA ST,V0T 1Z0,V0T,BELLA BELLA,BC,"Address,Postal Code","(52.1612727, -128.143339)"
294,2903 32 AVE SUITE 100,V1T 2L6,V1T,VERNON,BC,"Address,Postal Code","(50.26554609999999, -119.2699978)"
295,2667 BROADWAY  W,V6K 2G2,V6K,VANCOUVER,BC,"Address,Postal Code","(49.2643269, -123.1655414)"
296,601 6 AVE S,T1J 0Z2,T1J,LETHBRIDGE,AB,"Address,Postal Code","(49.6913079, -112.8378145)"
297,581 HUDSON ST NW,V1E 4N8,V1E,SALMON ARM,BC,"Address,Postal Code","(50.7034368, -119.2785037)"
298,899 12TH AVE W ROOM 233B,V5Z 1M9,V5Z,VANCOUVER,BC,"Address,Postal Code","(49.2610991, -123.1246645)"
299,713 JOHNSON ST,V8W 1M8,V8W,VICTORIA,BC,"Address,Postal Code","(48.4268867, -123.3639519)"
300,37989 CLEVELAND AVE SUITE 201,V8B 0C1,V8B,SQUAMISH,BC,"Address,Postal Code","(49.69820319999999, -123.1539412)"
301,2155 10TH AVE SUITE 405,V2M 5J6,V2M,PRINCE GEORGE,BC,"Address,Postal Code","(53.9148995, -122.7657784)"
302,50 ST CLAIR AVE E FLOOR 2,M4T 1M9,M4T,TORONTO,ON,"Address,Postal Code","(43.68881289999999, -79.39184689999999)"
303,21 ESSA RD,L4N 3K4,L4N,BARRIE,ON,"Address,Postal Code","(44.3739991, -79.6911688)"
304,161 BRIDGE ST W,K8P 1K2,K8P,BELLEVILLE,ON,"Address,Postal Code","(44.1598135, -77.3966767)"
305,1260 GOLF LINKS RD SUITE 201,P7B 0A1,P7B,THUNDER BAY,ON,"Address,Postal Code","(48.4235941, -89.27391569999999)"
306,600 UNIVERSITY AVE ROOM 433,M5G 1X5,M5G,TORONTO,ON,"Address,Postal Code","(43.6575156, -79.3901743)"
307,2480 HEATHER ST,V5Z 3H9,V5Z,VANCOUVER,BC,"Address,Postal Code","(49.2635805, -123.1196326)"
308,3801 28A ST SUITE 1,V1T 9T6,V1T,VERNON,BC,"Address,Postal Code","(50.2696064, -119.2687762)"
309,2067 COLUMBIA AVE,V0G 1Y0,V0G,ROSSLAND,BC,"Address,Postal Code","(49.076809, -117.798948)"
310,11 SELKIRK ST,K1L 6N1,K1L,VANIER,ON,"Address,Postal Code","(45.4321786, -75.6689921)"
311,1650 AV CEDAR CHAMBRE B2.117.2,H3G 1A4,H3G,MONTREAL,QC,"Address,Postal Code","(45.4969778, -73.58906809999999)"
312,555 KINGSTON RD W,L1S 6M1,L1S,AJAX,ON,"Address,Postal Code","(43.8546932, -79.0533385)"
313,1011 GLENMORE TRAIL SW SUITE 410,T2V 4R6,T2V,CALGARY,AB,"Address,Postal Code","(50.9935594, -114.085516)"
314,50 STONE RD E,N1G 2W1,N1G,GUELPH,ON,"Address,Postal Code","(43.5332662, -80.22700069999999)"
315,10425 111 AVE NW SUITE 472,T5G 0B8,T5G,EDMONTON,AB,"Address,Postal Code","(53.558066, -113.50085)"
316,100 ROLLING HILLS DR,L9W 4X9,L9W,ORANGEVILLE,ON,"Address,Postal Code","(43.9207717, -80.0725161)"
317,7030 DERRY RD,L9T 7H6,L9T,MILTON,ON,"Address,Postal Code","(43.4971909, -79.8713059)"
318,1450 KINGSTON RD UNIT 6B,L1V 1C1,L1V,PICKERING,ON,"Address,Postal Code","(43.8417711, -79.08401359999999)"
319,1 KING ST E,P0M 2W0,P0M,ST CHARLES,ON,"Address,Postal Code","(46.3620542, -80.416257)"
320,25 JOSEPH ST,N2G 4X6,N2G,KITCHENER,ON,"Address,Postal Code","(43.4483559, -80.4916843)"
321,10 B VICTORIA ST S,N2G 1C5,N2G,KITCHENER,ON,"Address,Postal Code","(43.4522692, -80.49915589999999)"
322,2100 BOVAIRD DR E,L6R 3J7,L6R,BRAMPTON,ON,"Address,Postal Code","(43.7472961, -79.7430207)"
323,51 MOUNTAINASH RD UNIT 8,L6R 1W4,L6R,BRAMPTON,ON,"Address,Postal Code","(43.7605779, -79.72778439999999)"
324,3530 DERRY RD E SUITE 110,L4T 4E3,L4T,MISSISSAUGA,ON,"Address,Postal Code","(43.7141429, -79.6299018)"
325,4000 HIGHWAY 7  UNIT 2,L4L 8Z2,L4L,WOODBRIDGE,ON,"Address,Postal Code","(43.7879741, -79.5573124)"
326,25 WOODBINE DOWNS BLVD UNIT 10,M9W 6N5,M9W,ETOBICOKE,ON,"Address,Postal Code","(43.7351993, -79.60579829999999)"
327,10505 SOUTHPORT RD SW,T2W 3N2,T2W,CALGARY,AB,"Address,Postal Code","(50.9619819, -114.0745936)"
328,2841 109 ST NW SUITE 105,T6J 6B7,T6J,EDMONTON,AB,"Address,Postal Code","(53.4598336, -113.5094186)"
329,13322 114 AVE NW,T5M 4B7,T5M,EDMONTON,AB,"Address,Postal Code","(53.5648186, -113.5523999)"
330,10155 120 ST NW,T5K 2A2,T5K,EDMONTON,AB,"Address,Postal Code","(53.5427425, -113.528138)"
331,1018 SEYMOUR ST,V6B 3M6,V6B,VANCOUVER,BC,"Address,Postal Code","(49.2783062, -123.1222083)"
332,8120 COOK RD SUITE 120,V6Y 1T9,V6Y,RICHMOND,BC,"Address,Postal Code","(49.1662262, -123.1352266)"
333,3311 FAIRLIGHT DR,S7M 3Y5,S7M,SASKATOON,SK,"Address,Postal Code","(52.1279052, -106.7218374)"
334,100 MAIN ST W FLOOR 3,L8P 1H6,L8P,HAMILTON,ON,"Address,Postal Code","(43.2566902, -79.87364)"
335,8440 112 ST NW ROOM 1G1.50,T6G 2B7,T6G,EDMONTON,AB,"Address,Postal Code","(53.5207104, -113.523782)"
336,1205 BOW VALLEY TRAIL SUITE 201,T1W 1P5,T1W,CANMORE,AB,"Address,Postal Code","(51.0916135, -115.3508799)"
