ID,Address,Postal Code,FSA,City,Province,Pat_Geo_Cols,Pat_Geocode
337,220 BEAR ST SUITE 302,T1L 1B1,T1L,BANFF,AB,"Address,Postal Code","(51.17789, -115.5720828)"
338,1125 COLONEL BY DR SUITE 2600,K1S 5B6,K1S,OTTAWA,ON,"Address,Postal Code","(45.3874831, -75.6959835)"
339,1213 4 ST SW FLOOR 8,T2R 0X7,T2R,CALGARY,AB,"Address,Postal Code","(51.0412253, -114.0721607)"
340,140 ROLLING HILLS DR,L9W 4X8,L9W,ORANGEVILLE,ON,"Address,Postal Code","(43.9189046, -80.0726562)"
341,510 GARAFRAXA ST E SUITE 1A,N1M 1E7,N1M,FERGUS,ON,"Address,Postal Code","(43.71439110000001, -80.37254759999999)"
342,155 MAIN ST E SUITE 100,L3M 1P2,L3M,GRIMSBY,ON,"Address,Postal Code","(43.188604, -79.5439232)"
343,263 WELLER AVE,K7K 2V4,K7K,KINGSTON,ON,"Address,Postal Code","(44.2624249, -76.4920566)"
344,757 RYAN RD FLOOR 2,V9N 3R6,V9N,COURTENAY,BC,"Address,Postal Code","(49.6971715, -124.9861175)"
345,211 BEAR ST SUITE 201,T1L 1J8,T1L,BANFF,AB,"Address,Postal Code","(51.1773262, -115.5727546)"
346,1213 4 ST SW FLOOR MAIN,T2R 0X7,T2R,CALGARY,AB,"Address,Postal Code","(51.0412252, -114.0721555)"
347,1016 68 AVE SW UNIT 200,T2V 4J2,T2V,CALGARY,AB,"Address,Postal Code","(50.9928292, -114.0851968)"
348,5966 MULLEN WAY NW,T6R 0S9,T6R,EDMONTON,AB,"Address,Postal Code","(53.4351211, -113.5706824)"
349,375 ST ALBERT RD SUITE 196,T8N 3K8,T8N,ST ALBERT,AB,"Address,Postal Code","(53.6427211, -113.622506)"
350,100 WARRIOR BLOCK,B0J 3A0,B0J,SHEARWATER,NS,"Address,Postal Code","(44.6310551, -63.512882)"
351,677 DUNDAS ST E,M5A 0R5,M5A,TORONTO,ON,"Address,Postal Code","(43.6609158, -79.3588036)"
352,2200 FAIRVIEW ST SUITE 208,L7R 4H9,L7R,BURLINGTON,ON,"Address,Postal Code","(43.3410354, -79.80504590000001)"
353,16880 YONGE ST UNIT 1,L3Y 0A3,L3Y,NEWMARKET,ON,"Address,Postal Code","(44.039402, -79.4780928)"
354,27 RUTH AVE UNIT 10,L6Z 4R2,L6Z,BRAMPTON,ON,"Address,Postal Code","(43.72270950000001, -79.78737070000001)"
355,6200 MCKAY AVE SUITE 150,V5H 4L7,V5H,BURNABY,BC,"Address,Postal Code","(49.226897, -123.003706)"
356,527 CAUSLEY ST,P0R 1B0,P0R,BLIND RIVER,ON,"Address,Postal Code","(46.186132, -82.9193112)"
357,2109 OTTAWA ST,N8Y 1R8,N8Y,WINDSOR,ON,"Address,Postal Code","(42.31270139999999, -83.003068)"
358,1966 GUTHRIE RD SUITE 107C,V9M 3X7,V9M,COMOX,BC,"Address,Postal Code","(49.6884921, -124.9334792)"
359,255 ST ANDREWS ST,N1S 1P1,N1S,CAMBRIDGE,ON,"Address,Postal Code","(43.3456072, -80.3283608)"
360,350 CONESTOGA BLVD UNIT B10,N1R 7L7,N1R,CAMBRIDGE,ON,"Address,Postal Code","(43.3903468, -80.3143557)"
361,277 VICTORIA ST FLOOR 10,M5B 1W2,M5B,TORONTO,ON,"Address,Postal Code","(43.6565357, -79.37937699999999)"
362,10 KEITH AVE UNIT 105,L9Y 0W5,L9Y,COLLINGWOOD,ON,"Address,Postal Code","(44.5092945, -80.2399866)"
363,310 LIMERIDGE RD W,L9C 2V2,L9C,HAMILTON,ON,"Address,Postal Code","(43.224051, -79.89858339999999)"
364,123 THIRD AVE SUITE 250,P4N 1C6,P4N,TIMMINS,ON,"Address,Postal Code","(48.4747326, -81.331848)"
365,10 PARKSIDE DR,N0B 2N0,N0B,ST JACOBS,ON,"Address,Postal Code","(43.54416990000001, -80.5509198)"
366,55 WYNDHAM ST N SUITE 207,N1H 7T8,N1H,GUELPH,ON,"Address,Postal Code","(43.5460436, -80.24790109999999)"
367,1500 FISHER ST SUITE 202,P1B 2H3,P1B,NORTH BAY,ON,"Address,Postal Code","(46.3144198, -79.4404071)"
368,150 YORK ST SUITE 1500,M5H 3S5,M5H,TORONTO,ON,"Address,Postal Code","(43.6494305, -79.3847535)"
369,4001 LESLIE ST ROOM 1NE-126,M2K 1E1,M2K,NORTH YORK,ON,"Address,Postal Code","(43.7695699, -79.36320180000001)"
370,1403 29 ST NW UNIT 47,T2N 2T9,T2N,CALGARY,AB,"Address,Postal Code","(51.0642667, -114.1345941)"
371,2749 DUNDAS RD GD,V0R 2W0,V0R,SHAWNIGAN LAKE,BC,"Address,Postal Code","(48.6533542, -123.6215949)"
372,143 LIBERTON DR SUITE 62,T8N 6A7,T8N,ST ALBERT,AB,"Address,Postal Code","(53.6523866, -113.6305467)"
373,114 1 ST SW,T0L 0H0,T0L,BLACK DIAMOND,AB,"Address,Postal Code","(50.6876664, -114.2341827)"
374,3500 26 AVE NE ROOM 2021,T1Y 6J4,T1Y,CALGARY,AB,"Address,Postal Code","(51.0787547, -113.9839459)"
375,1281 GEORGIA ST W,V6E 3J7,V6E,VANCOUVER,BC,"Address,Postal Code","(49.2881703, -123.1261594)"
376,11807 JASPER AVE NW,T5K 0N8,T5K,EDMONTON,AB,"Address,Postal Code","(53.540765, -113.5253929)"
377,4950 137 AVE NW,T5Y 2V4,T5Y,EDMONTON,AB,"Address,Postal Code","(53.5985008, -113.4111336)"
378,15240 56 AVE UNIT 107,V3S 5K7,V3S,SURREY,BC,"Address,Postal Code","(49.1034331, -122.7988296)"
379,2128 KENSINGTON RD NW,T2N 3R7,T2N,CALGARY,AB,"Address,Postal Code","(51.0527387, -114.1096471)"
380,3630 BRENTWOOD RD NW SUITE 810,T2L 1K8,T2L,CALGARY,AB,"Address,Postal Code","(51.08592119999999, -114.1267168)"
381,1390 MAJOR MACKENZIE DR E UNIT A8,L4S 0A1,L4S,RICHMOND HILL,ON,"Address,Postal Code","(43.8802596, -79.39477169999999)"
382,2685 36 ST NE,T1Y 5S3,T1Y,CALGARY,AB,"Address,Postal Code","(51.07743929999999, -113.9834052)"
383,59 PENDER ST W,V6B 1R3,V6B,VANCOUVER,BC,"Address,Postal Code","(49.28114009999999, -123.1067625)"
384,1 CENTENNIAL SQ,A1N 1G4,A1N,MOUNT PEARL,NL,"Address,Postal Code","(47.5192603, -52.8048554)"
385,131 MILLBOURNE ROAD EAST  NW,T6K 1P6,T6K,EDMONTON,AB,"Address,Postal Code","(53.4679521, -113.4496248)"
386,5127 49 ST,T4T 1B8,T4T,ROCKY MOUNTAIN HOUSE,AB,"Address,Postal Code","(52.3770847, -114.917346)"
387,240 WHARNCLIFFE RD N SUITE 201,N6H 4P2,N6H,LONDON,ON,"Address,Postal Code","(42.9913738, -81.2650038)"
388,1796 SUMMER ST,B3H 3A7,B3H,HALIFAX,NS,"Address,Postal Code","(44.6457881, -63.5863461)"
389,325 HEROLD RD UNIT 1,S7V 1J7,S7V,SASKATOON,SK,"Address,Postal Code","(52.0991604, -106.5670743)"
390,1600 MAIN ST SUITE 108C,E1E 1G5,E1E,MONCTON,NB,"Address,Postal Code","(46.0815514, -64.79360849999999)"
391,860 MOUNTAIN RD SUITE 301,E1C 2N7,E1C,MONCTON,NB,"Address,Postal Code","(46.10049540000001, -64.8113928)"
392,275 IDA ST N,K7S 3A2,K7S,ARNPRIOR,ON,"Address,Postal Code","(45.4392289, -76.3607766)"
393,3050 LAWRENCE AVE E,M1P 2V5,M1P,SCARBOROUGH,ON,"Address,Postal Code","(43.75619289999999, -79.2469386)"
394,3030 BIRCHMOUNT RD,M1W 3W3,M1W,SCARBOROUGH,ON,"Address,Postal Code","(43.80174969999999, -79.30905659999999)"
395,7 WHITBOURNE AVE,A0B 3K0,A0B,WHITBOURNE,NL,"Address,Postal Code","(47.4188329, -53.53060379999999)"
396,9242 HWY 17 RR 0001,P0R 1C0,P0R,BRUCE MINES,ON,"Address,Postal Code","(46.3013371, -83.7871936)"
397,300 MIETTE AVE,T0E 1E0,T0E,JASPER,AB,"Address,Postal Code","(52.8757077, -118.0833168)"
398,421 GREENBROOK DR UNIT 23B,N2M 4K1,N2M,KITCHENER,ON,"Address,Postal Code","(43.4249987, -80.5108502)"
399,1000 MONTEE DES PIONNIERS BUREAU 300,J6V 1S8,J6V,TERREBONNE,QC,"Address,Postal Code","(45.7257843, -73.5069427)"
400,1200 RUE KING E,J1G 1E4,J1G,SHERBROOKE,QC,"Address,Postal Code","(45.4076973, -71.86202410000001)"
401,3667 BOUL HARVEY,G7X 3A9,G7X,JONQUIERE,QC,"Address,Postal Code","(48.4119049, -71.23764609999999)"
402,CP 580 CSP PL CENTRE VILLE,G7X 7W4,G7X,JONQUIERE,QC,"Address,Postal Code","(48.4130928, -71.2462893)"
403,3141 BOUL TASCHEREAU BUREAU 420,J4V 2H2,J4V,GREENFIELD PARK,QC,"Address,Postal Code","(45.4975829, -73.4841469)"
404,1615 BOUL JACQUES-CARTIER E BUREAU 220,J4M 2X1,J4M,LONGUEUIL,QC,"Address,Postal Code","(45.5408222, -73.4565803)"
405,2984 BOUL TASCHEREAU,J4V 2G9,J4V,GREENFIELD PARK,QC,"Address,Postal Code","(45.4985938, -73.4868406)"
406,60 BOUL RENE-LEVESQUE E BUREAU 201 GD,G0C 1K0,G0C,CHANDLER,QC,"Address,Postal Code","(48.3498502, -64.6758524)"
407,75 RUE GRIGNON,J7P 4J2,J7P,SAINT-EUSTACHE,QC,"Address,Postal Code","(45.57276340000001, -73.9090497)"
408,48 RUE DENISON E,J2G 4C6,J2G,GRANBY,QC,"Address,Postal Code","(45.3960973, -72.715394)"
409,1186 RICHARD  ST,P0R 1J0,P0R,RICHARDS LANDING,ON,"Address,Postal Code","(46.2933639, -84.0351424)"
410,3333 RUE DU CARREFOUR BUREAU A222,G1C 5R9,G1C,QUEBEC,QC,"Address,Postal Code","(46.8606254, -71.217647)"
411,1575 BOUL DE L'AVENIR BUREAU 220,H7S 2N5,H7S,LAVAL,QC,"Address,Postal Code","(45.5658056, -73.72527149999999)"
412,600 BOUL DU FORT-SAINT-LOUIS BUREAU 201,J4B 1S7,J4B,BOUCHERVILLE,QC,"Address,Postal Code","(45.611602, -73.45176250000002)"
413,667 CH DU BORD-DU-LAC LAKESHORE,H9S 2B7,H9S,DORVAL,QC,"Address,Postal Code","(45.439962, -73.7362718)"
414,5025 RUE DE SALABERRY,H4J 1J1,H4J,MONTREAL,QC,"Address,Postal Code","(45.532263, -73.7074329)"
415,5700 BOUL ETIENNE-DALLAIRE BUREAU 150,G6V 8R8,G6V,LEVIS,QC,"Address,Postal Code","(46.7913108, -71.1662107)"
416,78 B RUE PRINCIPALE,G0L 2J0,G0L,SAINT-ANTONIN,QC,"Address,Postal Code","(47.78354359999999, -69.464029)"
417,30 RUE PRINICPAL,J0X 1W0,J0X,GRACEFIELD,QC,"Address,Postal Code","(46.0937497, -76.0515157)"
418,5540 RUE JARRY E,H1P 1T9,H1P,SAINT-LEONARD,QC,"Address,Postal Code","(45.5854918, -73.58989389999999)"
419,3500 RUE WELLINGTON,H4G 1T3,H4G,VERDUN,QC,"Address,Postal Code","(45.4684848, -73.5652158)"
420,5811 BOUL TASCHEREAU BUREAU 100,J4Z 1A5,J4Z,BROSSARD,QC,"Address,Postal Code","(45.477736, -73.4650479)"
421,730 ST ANNE'S RD UNIT X,R2N 0A2,R2N,WINNIPEG,MB,"Address,Postal Code","(49.8237009, -97.0852622)"
422,814 BOUL DE L'ANGE-GARDIEN N,J5W 1P6,J5W,L'ASSOMPTION,QC,"Address,Postal Code","(45.8389669, -73.4129541)"
423,CP 3406 SUCC BUREAU-CHEF,J5W 4M9,J5W,L'ASSOMPTION,QC,"Address,Postal Code","(45.82144359999999, -73.4287933)"
424,200 FLETCHER CRES,L9R 1M1,L9R,ALLISTON,ON,"Address,Postal Code","(44.1555259, -79.87510010000001)"
425,140 ROLLING HILLS DR SUITE 100,L9W 4X8,L9W,ORANGEVILLE,ON,"Address,Postal Code","(43.9189046, -80.0726562)"
426,11800 RUE CHAUMONT BUREAU 300,J7J 0T8,J7J,MIRABEL,QC,"Address,Postal Code","(45.6783832, -73.92400049999999)"
427,95 AV DE LA VERDURE,J6K 0E8,J6K,CHATEAUGUAY,QC,"Address,Postal Code","(45.35792439999999, -73.73640189999999)"
428,622 3RD ST SW,R7N 1R5,R7N,DAUPHIN,MB,"Address,Postal Code","(51.1469681, -100.0613568)"
429,822 BOUL SAINTE-ANNE BUREAU 101,G5M 1J5,G5M,RIMOUSKI,QC,"Address,Postal Code","(48.5061194, -68.4669508)"
430,6705 BOUL CHEVRIER BUREAU 203,J4Z 3T9,J4Z,BROSSARD,QC,"Address,Postal Code","(45.4555316, -73.4418627)"
431,355 BOUL DES BOIS-FRANCS S BUREAU 205,G6P 4T2,G6P,VICTORIAVILLE,QC,"Address,Postal Code","(46.0534276, -71.9419473)"
432,220 SHERWAY DR,M9C 0A7,M9C,ETOBICOKE,ON,"Address,Postal Code","(43.6083378, -79.56065129999999)"
433,880 AV PAINCHAUD,G1S 0A3,G1S,QUEBEC,QC,"Address,Postal Code","(46.7881278, -71.26112359999999)"
434,975 BOUL MONSEIGNEUR-DE LAVAL BUREAU 201,G3Z 2W3,G3Z,BAIE-SAINT-PAUL,QC,"Address,Postal Code","(47.448023, -70.51875710000002)"
435,4670 BOUL SAINT-MARTIN O,H7T 2Y2,H7T,LAVAL,QC,"Address,Postal Code","(45.546615, -73.7756396)"
436,1740 CH SAINT-CHARLES,J6W 3R3,J6W,TERREBONNE,QC,"Address,Postal Code","(45.69554429999999, -73.6148941)"
437,50 CH DU GOLF O,J6E 0W6,J6E,SAINT-CHARLES-BORROMEE,QC,"Address,Postal Code","(46.04038310000001, -73.4537207)"
438,1 HOSPITAL WAY,V8Z 6R5,V8Z,VICTORIA,BC,"Address,Postal Code","(48.46751219999999, -123.4328048)"
439,3031 BOUL DE LA GARE,J7V 9R2,J7V,VAUDREUIL-DORION,QC,"Address,Postal Code","(45.3943675, -74.0537911)"
440,692 4E AV O BUREAU 100,J9T 0B7,J9T,AMOS,QC,"Address,Postal Code","(48.57529419999999, -78.1274614)"
441,6520 RUE DE SAINT-VALLIER,H2S 2P7,H2S,MONTREAL,QC,"Address,Postal Code","(45.534644, -73.60524769999999)"
442,4101 RUE MOLSON,H1Y 3L1,H1Y,MONTREAL,QC,"Address,Postal Code","(45.5418591, -73.5645948)"
443,3232 RUE BELANGER BUREAU 201,H1Y 3H5,H1Y,MONTREAL,QC,"Address,Postal Code","(45.556686, -73.594117)"
444,3165 CH SAINT-LOUIS BUREAU 410,G1W 4R4,G1W,QUEBEC,QC,"Address,Postal Code","(46.7562393, -71.29489389999999)"
445,2255 RUE DE L'UNIVERSITE POSTAL LOCATOR 1661,G1V 0A7,G1V,QUEBEC,QC,"Address,Postal Code","(46.7806163, -71.266951)"
446,125 BOUL DE GASPE,G4X 1A4,G4X,GASPE,QC,"Address,Postal Code","(48.83947269999999, -64.4833713)"
447,610 BOUL CURE-LABELLE ETAGE 2IEME,H7V 2T7,H7V,LAVAL,QC,"Address,Postal Code","(45.5366635, -73.74268510000002)"
448,1110 BOUL VANIER,H7C 2R8,H7C,LAVAL,QC,"Address,Postal Code","(45.6109243, -73.65822039999999)"
449,55 CH SAINTE-FOY,G1R 1S9,G1R,QUEBEC,QC,"Address,Postal Code","(46.8061173, -71.2279717)"
450,1145 CONCESSION RD,N3H 4L5,N3H,CAMBRIDGE,ON,"Address,Postal Code","(43.3970068, -80.34419989999999)"
451,179 CLARENCE ST,K1N 5P7,K1N,OTTAWA,ON,"Address,Postal Code","(45.4305149, -75.6900928)"
452,3045 BASELINE RD,K2H 8P4,K2H,NEPEAN,ON,"Address,Postal Code","(45.3348281, -75.8078434)"
453,520 BOUL DE L'HOPITAL BUREAU 2B,J8V 2P5,J8V,GATINEAU,QC,"Address,Postal Code","(45.4939107, -75.6888259)"
454,4480 CH DE LA COTE-DE-LIESSE BUREAU 110,H4N 2R1,H4N,MONT-ROYAL,QC,"Address,Postal Code","(45.5044443, -73.6639234)"
455,1575 BOUL HENRI-BOURASSA O ETAGE 2,H3M 3A9,H3M,MONTREAL,QC,"Address,Postal Code","(45.5375942, -73.67974050000001)"
456,411 AV SIROIS BUREAU 100,G5L 8B2,G5L,RIMOUSKI,QC,"Address,Postal Code","(48.434044, -68.5228009)"
457,288 RUE PIERRE-SAINDON SUITE 130,G5L 9A8,G5L,RIMOUSKI,QC,"Address,Postal Code","(48.445434, -68.5240086)"
458,80 118E RUE,G9P 3E4,G9P,SHAWINIGAN,QC,"Address,Postal Code","(46.5244663, -72.7448972)"
459,5400 BOUL GOUIN O,H4J 1C5,H4J,MONTREAL,QC,"Address,Postal Code","(45.5325192, -73.7141048)"
460,2075 BOUL MELLON BUREAU 303,G7S 5Z8,G7S,JONQUIERE,QC,"Address,Postal Code","(48.4209048, -71.1789422)"
461,56 RUE SAINTE-ANNE,J9V 2B7,J9V,VILLE-MARIE,QC,"Address,Postal Code","(47.3316038, -79.4378778)"
462,170 REBECCA ST UNIT D,L6K 1J6,L6K,OAKVILLE,ON,"Address,Postal Code","(43.43871850000001, -79.6780563)"
463,65 BOUL DE LA CITE-DES-JEUNES BUREAU 300,J7V 8C1,J7V,VAUDREUIL-DORION,QC,"Address,Postal Code","(45.40865669999999, -74.03719509999999)"
464,25 CH DE LA SAVANE,J8T 8A4,J8T,GATINEAU,QC,"Address,Postal Code","(45.4745931, -75.70546379999999)"
465,825 DON MILLS RD,M3C 1V4,M3C,NORTH YORK,ON,"Address,Postal Code","(43.7227042, -79.3375083)"
466,720 SPADINA AVE SUITE 404,M5S 2T9,M5S,TORONTO,ON,"Address,Postal Code","(43.6653855, -79.4034771)"
467,832 MARCH RD UNIT 2,K2W 0C9,K2W,KANATA,ON,"Address,Postal Code","(45.3566005, -75.9335042)"
468,1228 COMMISSIONERS RD W,N6K 1C7,N6K,LONDON,ON,"Address,Postal Code","(42.95811, -81.33018609999999)"
469,597 AV NOTRE-DAME,J4P 2K8,J4P,SAINT-LAMBERT,QC,"Address,Postal Code","(45.501048, -73.50834730000001)"
470,712 MAIN ST E,L9V 2Z4,L9V,SHELBURNE,ON,"Address,Postal Code","(44.0817074, -80.18998599999999)"
471,31 SUNPARK PLAZA SE,T2X 3W5,T2X,CALGARY,AB,"Address,Postal Code","(50.9024935, -114.0587354)"
472,807 BROADVIEW AVE FLOOR 4,M4K 2P8,M4K,TORONTO,ON,"Address,Postal Code","(43.67797820000001, -79.35826)"
473,3155 HARVESTER RD SUITE 101,L7N 3V2,L7N,BURLINGTON,ON,"Address,Postal Code","(43.354156, -79.797392)"
474,1789 K.L.O. RD SUITE 201,V1W 3P3,V1W,KELOWNA,BC,"Address,Postal Code","(49.8606191, -119.4574948)"
475,901 BOUL DES SEIGNEURS BUREAU 301,J6W 1T8,J6W,TERREBONNE,QC,"Address,Postal Code","(45.70238880000001, -73.6403251)"
476,1317 BOUL DES SEIGNEURS,J6W 5B1,J6W,TERREBONNE,QC,"Address,Postal Code","(45.6997025, -73.65856269999999)"
477,942 BOUL ALBINY-PAQUETTE,J9L 1L4,J9L,MONT-LAURIER,QC,"Address,Postal Code","(46.5506955, -75.48697419999999)"
478,57 BOUL INDUSTRIEL BUREAU 2200,J7R 5B9,J7R,SAINT-EUSTACHE,QC,"Address,Postal Code","(45.5705457, -73.92057249999999)"
479,3801 RUE DE MONTCALM BUREAU 101,G7X 1W1,G7X,JONQUIERE,QC,"Address,Postal Code","(48.42351679999999, -71.2413612)"
480,2500 UNIVERSITY DR NW ROOM MSC370,T2N 1N4,T2N,CALGARY,AB,"Address,Postal Code","(51.0781556, -114.1320125)"
481,7007 14 ST SW SUITE 6625,T2V 1P9,T2V,CALGARY,AB,"Address,Postal Code","(50.9898603, -114.0972911)"
482,2500 UNIVERSITY DR NW SUITE MSC370,T2N 1N4,T2N,CALGARY,AB,"Address,Postal Code","(51.0781556, -114.1320125)"
483,3205 PLACE ALTON-GOLDBLOOM,H7V 1R2,H7V,LAVAL,QC,"Address,Postal Code","(45.5486762, -73.7376918)"
484,10425 KENNEDY RD SUITE 101,L6Z 0A4,L6Z,BRAMPTON,ON,"Address,Postal Code","(43.7246668, -79.7876011)"
485,1733 RUE BERRI BUREAU 1100,H2L 4E9,H2L,MONTREAL,QC,"Address,Postal Code","(45.51678580000001, -73.5637751)"
486,209 RUE WOODSTOCK,J4P 1W7,J4P,SAINT-LAMBERT,QC,"Address,Postal Code","(45.5002006, -73.5099551)"
487,665 BOUL SIR-WILFRID-LAURIER,J3G 4J1,J3G,BELOEIL,QC,"Address,Postal Code","(45.5633423, -73.2052519)"
488,CFB KINGSTON,K7K 7B4,K7K,KINGSTON,ON,"Address,Postal Code","(44.2338812, -76.4675051)"
489,2828 BOUL LAURIER BUREAU 700,G1V 0B9,G1V,QUEBEC,QC,"Address,Postal Code","(46.7678083, -71.2888117)"
490,1020 RUE BOUVIER BUREAU 200,G2K 0K9,G2K,QUEBEC,QC,"Address,Postal Code","(46.8308746, -71.283068)"
491,10525 PRINCIPALE RUE SUITE A,E4X 1E7,E4X,SAINT-LOUIS-DE-KENT,NB,"Address,Postal Code","(46.7373528, -64.9717393)"
492,230 ROBSON RD W,V1X 3C8,V1X,KELOWNA,BC,"Address,Postal Code","(49.8873384, -119.3881831)"
493,1280 RUE KING E BUREAU 300,J1G 1E4,J1G,SHERBROOKE,QC,"Address,Postal Code","(45.4086151, -71.8602676)"
494,24 SELKIRK ST SUITE 300,K1L 0A4,K1L,VANIER,ON,"Address,Postal Code","(45.4317126, -75.6676896)"
495,230 CANBOROUGH ST GD,L0R 2A0,L0R,SMITHVILLE,ON,"Address,Postal Code","(43.0956658, -79.54853469999999)"
496,376 175A ST SUITE 2,V3Z 6S7,V3Z,SURREY,BC,"Address,Postal Code","(49.0086574, -122.736329)"
497,303 BOUL PIERRE-BERTRAND BUREAU 212,G1M 3L7,G1M,QUEBEC,QC,"Address,Postal Code","(46.81417440000001, -71.2642169)"
498,150 N 4TH ST E,T0K 2S0,T0K,RAYMOND,AB,"Address,Postal Code","(49.4646958, -112.6507751)"
499,200 UNIVERSITY CAMPUS NW UNIT 2,T6G 2J7,T6G,EDMONTON,AB,"Address,Postal Code","(53.528956, -113.524069)"
500,120 PELHAM ST,B0J 2C0,B0J,LUNENBURG,NS,"Address,Postal Code","(44.376695, -64.3093219)"
